felt_nummer;dato;naturtype;art;type;
1;8/9/21;overdrev;draphavre;Graminoid;
1;8/9/21;overdrev;eg_almindelig;Vedplante;
1;8/9/21;overdrev;fladbaelg_gul;Bredbladet urt;
1;8/9/21;overdrev;floejlsgraes;Graminoid;
1;8/9/21;overdrev;hundegraes_almindelig;Graminoid;
1;8/9/21;overdrev;hvene_almindelig;Graminoid;
1;8/9/21;overdrev;hvidtjoern_engriflet;Vedplante;
1;8/9/21;overdrev;padderok_ager;Udenfor kategori;
1;8/9/21;overdrev;perikon_prikbladet;Bredbladet urt;
1;8/9/21;overdrev;rose_glathunde;Vedplante;
1;8/9/21;overdrev;rottehale_knold;Graminoid;
1;8/9/21;overdrev;slaaen;Vedplante;
1;8/9/21;overdrev;snerre_gul;Bredbladet urt;
1;8/9/21;overdrev;syre_almindelig;Bredbladet urt;
1;8/9/21;overdrev;vejbred_lancet;Bredbladet urt;
1;8/9/21;overdrev;vikke_muse;Bredbladet urt;
1;8/9/21;overdrev;kalkved;Vedplante;
1;8/9/21;overdrev;smaakronet_gedeskaeg;Bredbladet urt;
1;8/9/21;overdrev;Kloever_hvid;Bredbladet urt;
1;8/9/21;overdrev;Kloever_roed;Bredbladet urt;
1;8/9/21;overdrev;svingel_roed ;Graminoid;
1;8/9/21;overdrev;rapgraes_almindelig;Graminoid;
1;8/9/21;overdrev;hoensetarm_almindelig;Bredbladet urt;
1;8/9/21;overdrev;vikke_smalbladet;Bredbladet urt;
2;8/9/21;overdrev;draphavre;Graminoid;
2;8/9/21;overdrev;floejlsgraes ;Graminoid;
2;8/9/21;overdrev;hundegraes_almindelig;Graminoid;
2;8/9/21;overdrev;hvene_almindelig;Graminoid;
2;8/9/21;overdrev;hvidtjoern_engriflet;Vedplante;
2;8/9/21;overdrev;kvik_almindelig;Graminoid;
2;8/9/21;overdrev;padderok_ager;Udenfor kategori;
2;8/9/21;overdrev;svingel_roed ;Graminoid;
2;8/9/21;overdrev;syre_almindelig;Bredbladet urt;
2;8/9/21;overdrev;tidsel_ager;Bredbladet urt;
2;8/9/21;overdrev;torskemund_almindelig;Bredbladet urt;
2;8/9/21;overdrev;vejbred_lancet;Bredbladet urt;
3;8/14/21;fersk_eng;avre_roed;Bredbladet urt;
3;8/14/21;fersk_eng;birk_opvaekst;Vedplante;
3;8/14/21;fersk_eng;brandbaerer_almindelig;Bredbladet urt;
3;8/14/21;fersk_eng;chara_kransnaalalge;Udenfor kategori;
3;8/14/21;fersk_eng;draphavre;Graminoid;
3;8/14/21;fersk_eng;dueurt_laadden;Bredbladet urt;
3;8/14/21;fersk_eng;fladbaelg_gul;Bredbladet urt;
3;8/14/21;fersk_eng;floejlsgraes;Graminoid;
3;8/14/21;fersk_eng;foelfod;Bredbladet urt;
3;8/14/21;fersk_eng;geum_sp;Bredbladet urt;
3;8/14/21;fersk_eng;glandskapslet_siv;Graminoid;
3;8/14/21;fersk_eng;hoest_roedtop;Bredbladet urt;
3;8/14/21;fersk_eng;humlesneglebaelg;Bredbladet urt;
3;8/14/21;fersk_eng;hvene_almindelig;Graminoid;
3;8/14/21;fersk_eng;kloever_hvid;Bredbladet urt;
3;8/14/21;fersk_eng;kruset_skraeppe;Bredbladet urt;
3;8/14/21;fersk_eng;kvik_almindelig;Graminoid;
3;8/14/21;fersk_eng;padderok_ager;Udenfor kategori;
3;8/14/21;fersk_eng;pileurt_vej;Bredbladet urt;
3;8/14/21;fersk_eng;ranukel_tigger;Bredbladet urt;
3;8/14/21;fersk_eng;ranunkel_lav;Bredbladet urt;
3;8/14/21;fersk_eng;rapgraes_almindelig;Graminoid;
3;8/14/21;fersk_eng;salix_sp;Vedplante;
3;8/14/21;fersk_eng;sennep_ager;Bredbladet urt;
3;8/14/21;fersk_eng;siv_lyse;Graminoid;
3;8/14/21;fersk_eng;skaerm_vortemaelk;Bredbladet urt;
3;8/14/21;fersk_eng;snerre_sp;Bredbladet urt;
3;8/14/21;fersk_eng;svinemaelk_ager;Bredbladet urt;
3;8/14/21;fersk_eng;tidsel_ager;Bredbladet urt;
3;8/14/21;fersk_eng;tofroeet_vikke;Bredbladet urt;
3;8/14/21;fersk_eng;torskemund_liden;Bredbladet urt;
3;8/14/21;fersk_eng;tudse_siv;Graminoid;
3;8/14/21;fersk_eng;tykbladet_aerenpris;Bredbladet urt;
3;8/14/21;fersk_eng;tykskulpet_broendkarse;Bredbladet urt;
3;8/14/21;fersk_eng;vejbred_glat;Bredbladet urt;
3;8/14/21;fersk_eng;vejbred_lancet;Bredbladet urt;
4;8/11/21;fersk_eng;fladbaelg_gul;Bredbladet urt;
4;8/11/21;fersk_eng;fladstjerne_graesbladet;Bredbladet urt;
4;8/11/21;fersk_eng;floejlsgraes;Graminoid;
4;8/11/21;fersk_eng;hvene_almindelig;Graminoid;
4;8/11/21;fersk_eng;iris_sp;Bredbladet urt;
4;8/11/21;fersk_eng;mjoedurt_almindelig;Bredbladet urt;
4;8/11/21;fersk_eng;nellikerod_eng;Bredbladet urt;
4;8/11/21;fersk_eng;perikon_kantet;Bredbladet urt;
4;8/11/21;fersk_eng;pileurt_vand;Bredbladet urt;
4;8/11/21;fersk_eng;ranuknel_bidende;Bredbladet urt;
4;8/11/21;fersk_eng;rapgraes_eng;Graminoid;
4;8/11/21;fersk_eng;rottehale_eng;Graminoid;
4;8/11/21;fersk_eng;raevehale_eng;Graminoid;
4;8/11/21;fersk_eng;siv_lyse;Graminoid;
4;8/11/21;fersk_eng;skraeppe_kruset;Bredbladet urt;
4;8/11/21;fersk_eng;svingel_roed;Graminoid;
4;8/11/21;fersk_eng;syre_almindelig;Bredbladet urt;
4;8/11/21;fersk_eng;vejbred_lancet;Bredbladet urt;
4;8/11/21;fersk_eng;potentil_gaase;Bredbladet urt;
4;8/11/21;fersk_eng;agermaane_almindelig;Bredbladet urt;
4;8/11/21;fersk_eng;pastinak;Bredbladet urt;
4;8/11/21;fersk_eng;tofroeet_vikke;Bredbladet urt;
4;8/11/21;fersk_eng;maelkeboette;Bredbladet urt;
4;8/11/21;fersk_eng;musse_vikke;Bredbladet urt;
4;8/11/21;fersk_eng;kløver_hvid;Bredbladet urt;
4;8/11/21;fersk_eng;kløver_rød;Bredbladet urt;
4;8/11/21;fersk_eng;hundegræs_almindelig;Graminoid;
4;8/11/21;fersk_eng;glat_dueurt;Bredbladet urt;
5;8/11/21;overdrev;agermaane_almindelig;Bredbladet urt;
5;8/11/21;overdrev;draphavre;Graminoid;
5;8/11/21;overdrev;fladbaelg_gul;Bredbladet urt;
5;8/11/21;overdrev;floelsgraes;Graminoid;
5;8/11/21;overdrev;hundegraes_almindelig;Graminoid;
5;8/11/21;overdrev;hvene_almindelig;Graminoid;
5;8/11/21;overdrev;hvidtjoern_engriflet;Vedplante;
5;8/11/21;overdrev;kloever_bugtet;Bredbladet urt;
5;8/11/21;overdrev;kloever_hvid;Bredbladet urt;
5;8/11/21;overdrev;kloever_roed;Bredbladet urt;
5;8/11/21;overdrev;kvik_almindelig;Graminoid;
5;8/11/21;overdrev;perikon_prikbladet;Bredbladet urt;
5;8/11/21;overdrev;perikon_kantet;Bredbladet urt;
5;8/11/21;overdrev;ranukel_bidende;Bredbladet urt;
5;8/11/21;overdrev;snerre_gul;Bredbladet urt;
5;8/11/21;overdrev;svingel_roed;Graminoid;
5;8/11/21;overdrev;syre_almindelig;Bredbladet urt;
5;8/11/21;overdrev;vikke_muse;Bredbladet urt;
5;8/11/21;overdrev;mjoedurt_almindelig;Bredbladet urt;
5;8/11/21;overdrev;gyldenris_sildig;Bredbladet urt;
5;8/11/21;overdrev;skraeppe_kruset;Bredbladet urt;
5;8/11/21;overdrev;hanekro_skov;Bredbladet urt;
5;8/11/21;overdrev;vejpileurt_almindelig;Bredbladet urt;
5;8/11/21;overdrev;vikke_tofroeet;Bredbladet urt;
6;8/10/21;fersk_eng;floejsgraes ;Graminoid;
6;8/10/21;fersk_eng;mjoedurt_almindelig;Bredbladet urt;
6;8/10/21;fersk_eng;naelde_stor;Bredbladet urt;
6;8/10/21;fersk_eng;snerre_burre;Bredbladet urt;
6;8/10/21;fersk_eng;nellikerod_feber;Bredbladet urt;
6;8/10/21;fersk_eng;dueurt_glat;Bredbladet urt;
6;8/10/21;fersk_eng;eg_almindelig;Vedplante;
6;8/10/21;fersk_eng;hvidtjoern_engriflet;Vedplante;
6;8/10/21;fersk_eng;dueurt_laadden;Bredbladet urt;
6;8/10/21;fersk_eng;dueurt_kirtel;Bredbladet urt;
6;8/10/21;fersk_eng;hunderose_glat;Vedplante;
6;8/10/21;fersk_eng;kornel_hvid;Vedplante;
6;8/10/21;fersk_eng;mangeloev_almindelig;Udenfor kategori;
6;8/10/21;fersk_eng;mangeloev_bredbladet;Udenfor kategori;
6;8/10/21;fersk_eng;hanekro_almindelig;Bredbladet urt;
6;8/10/21;fersk_eng;draphavre;Graminoid;
6;8/10/21;fersk_eng;kvik_almindelig;Graminoid;
7;8/10/21;skov;ask;Vedplante;
7;8/10/21;skov;birk_vorte;Vedplante;
7;8/10/21;skov;eg_almindelig;Vedplante;
7;8/10/21;skov;hassel;Vedplante;
7;8/10/21;skov;hvidtjoern_engriflet;Vedplante;
7;8/10/21;skov;mangeloev_almindelig;Udenfor kategori;
7;8/10/21;skov;nellikerod_feber;Bredbladet urt;
7;8/10/21;skov;roen_almindelig;Vedplante;
7;8/10/21;skov;gedeblad_dunet;Vedplante;
7;8/10/21;skov;kornel_hvid;Vedplante;
7;8/10/21;skov;ribs_fjeld;Vedplante;
7;8/10/21;skov;kristtorn;Vedplante;
7;8/10/21;skov;fuglekirsebaer;Vedplante;
8;8/19/21;overdrev;agermaane_almindelig;Bredbladet urt;
8;8/19/21;overdrev;ask;Vedplante;
8;8/19/21;overdrev;draphavre;Graminoid;
8;8/19/21;overdrev;fladbaelg_gul;Bredbladet urt;
8;8/19/21;overdrev;floejlsgraes;Graminoid;
8;8/19/21;overdrev;hundegraes_almindelig;Graminoid;
8;8/19/21;overdrev;hvene_almindelig;Graminoid;
8;8/19/21;overdrev;hvidtjoern_engriflet;Vedplante;
8;8/19/21;overdrev;kaellingetand_almindelig;Bredbladet urt;
8;8/19/21;overdrev;loeg_sp;Bredbladet urt;
8;8/19/21;overdrev;perikon_prikbladet;Bredbladet urt;
8;8/19/21;overdrev;rapgraes_eng;Graminoid;
8;8/19/21;overdrev;rose_glathunde;Vedplante;
8;8/19/21;overdrev;rottehale_eng;Graminoid;
8;8/19/21;overdrev;snerle_ager;Bredbladet urt;
8;8/19/21;overdrev;snerre_gul;Bredbladet urt;
8;8/19/21;overdrev;snerre_hvid;Bredbladet urt;
8;8/19/21;overdrev;svingel_roed;Graminoid;
8;8/19/21;overdrev;syre_almindelig;Bredbladet urt;
8;8/19/21;overdrev;tidsel_ager;Bredbladet urt;
8;8/19/21;overdrev;vejbred_lancet;Bredbladet urt;
8;8/19/21;overdrev;vikke_muse;Bredbladet urt;
8;8/19/21;overdrev;fuglekirsebaer;Vedplante;
8;8/19/21;overdrev;eg_almindelig;Vedplante;
8;8/19/21;overdrev;kornel_roed;Vedplante;
8;8/19/21;overdrev;knoldet_brunrod;Bredbladet urt;
8;8/19/21;overdrev;smaabladet_gedeskaeg;Bredbladet urt;
8;8/19/21;overdrev;ranunkel_bidende;Bredbladet urt;
9;8/16/21;overdrev;draphavre;Graminoid;
9;8/16/21;overdrev;floejlsgraes ;Graminoid;
9;8/16/21;overdrev;hundegraes_almindelig;Graminoid;
9;8/16/21;overdrev;hvene_almindelig;Graminoid;
9;8/16/21;overdrev;hvidtjoern_engriflet;Vedplante;
9;8/16/21;overdrev;maelkeboette;Bredbladet urt;
9;8/16/21;overdrev;nellikerod_feber;Bredbladet urt;
9;8/16/21;overdrev;rapgraes_lund;Graminoid;
9;8/16/21;overdrev;rottehale_eng;Graminoid;
9;8/16/21;overdrev;rottehale_knold;Graminoid;
9;8/16/21;overdrev;snerre_sp;Bredbladet urt;
9;8/16/21;overdrev;svingel_roed;Graminoid;
9;8/16/21;overdrev;ask;Vedplante;
9;8/16/21;overdrev;kornel_hvid;Vedplante;
9;8/16/21;overdrev;kornel_roed;Vedplante;
9;8/16/21;overdrev;gedeblad_dunet;Vedplante;
9;8/16/21;overdrev;roen_almindelig;Vedplante;
9;8/16/21;overdrev;jordbaer_skov;Bredbladet urt;
9;8/16/21;overdrev;fuglekirsebaer;Vedplante;
9;8/16/21;overdrev;eg_almindelig;Vedplante;
9;8/16/21;overdrev;ranunkel_bidende;Bredbladet urt;
9;8/16/21;overdrev;rose_glansbladet;Vedplante;
9;8/16/21;overdrev;lind_spidsbladet;Vedplante;
9;8/16/21;overdrev;haeg_almindelig;Vedplante;
9;8/16/21;overdrev;naver;Vedplante;
9;8/16/21;overdrev;perikon_prikbladet;Bredbladet urt;
9;8/16/21;overdrev;lancet_vejbred;Bredbladet urt;
9;8/16/21;overdrev;kastanje_aegte;Vedplante;
9;8/16/21;overdrev;prunus_domestica;Vedplante;
10;8/19/20;mose_kaer;star_nikkende;Graminoid;
10;8/19/20;mose_kaer;pileurt_vand;Bredbladet urt;
11;8/21/21;mose_kaer;fredloes_almindelig;Bredbladet urt;
11;8/21/21;mose_kaer;roerhvene_eng;Graminoid;
11;8/21/21;mose_kaer;tagroer;Graminoid;
11;8/21/21;mose_kaer;kattehale;Bredbladet urt;
11;8/21/21;mose_kaer;mjoedurt_almindelig;Bredbladet urt;
12;8/21/21;mose_kaer;dueurt_laadden;Bredbladet urt;
12;8/21/21;mose_kaer;fredloes_almindelig;Bredbladet urt;
12;8/21/21;mose_kaer;mjoedurt_almindelig;Bredbladet urt;
12;8/21/21;mose_kaer;pil_graa;Vedplante;
12;8/21/21;mose_kaer;roerhvene_eng;Graminoid;
12;8/21/21;mose_kaer;tagroer;Graminoid;
12;8/21/21;mose_kaer;star_tykakset;Graminoid;
13;8/10/21;skov;ask;Vedplante;
13;8/10/21;skov;avnboeg;Vedplante;
13;8/10/21;skov;elm_skov;Vedplante;
13;8/10/21;skov;hvidtjoern_almindelig;Vedplante;
13;8/10/21;skov;hvidtjoern_engriflet;Vedplante;
13;8/10/21;skov;mangeloev_almindelig;Udenfor kategori;
13;8/10/21;skov;nellikerod_feber ;Bredbladet urt;
13;8/10/21;skov;gedeblad_dunet;Vedplante;
13;8/10/21;skov;kalkved;Vedplante;
13;8/10/21;skov;kristtorn;Vedplante;
13;8/10/21;skov;lind_smaabladet;Vedplante;
13;8/10/21;skov;spidsloen;Vedplante;
13;8/10/21;skov;rose_sp;Vedplante;
13;8/10/21;skov;liguster;Vedplante;
14;8/10/21;mose_kaer;mjoedurt_almindelig;Bredbladet urt;
14;8/10/21;mose_kaer;tagroer;Graminoid;
14;8/10/21;mose_kaer;star_sp;Graminoid;
14;8/10/21;mose_kaer;kornel_hvid;Vedplante;
