Felt ;Dato;Naturtype;Art;type
1;5/10/23;overdrev;eg_almindelig;Vedplante
1;5/10/23;overdrev;fladbaelg_gul;Bredbladet urt
1;5/10/23;overdrev;floejlsgraes;Graminoid
1;5/10/23;overdrev;hundegraes_almindelig;Graminoid
1;5/10/23;overdrev;hvidtjoern_engriflet;Vedplante
1;5/10/23;overdrev;kloever_hvid;Bredbladet urt
1;5/10/23;overdrev;kvalkved;Vedplante
1;5/10/23;overdrev;padderok_ager;Udenfor kategori
1;5/10/23;overdrev;perikon_prikbladet;Bredbladet urt
1;5/10/23;overdrev;prunus_sp;Vedplante
1;5/10/23;overdrev;ranunkel_bidende;Bredbladet urt
1;5/10/23;overdrev;rapgraes_eng;Graminoid
1;5/10/23;overdrev;skraeppe_kruset;Bredbladet urt
1;5/10/23;overdrev;slaaen;Vedplante
1;5/10/23;overdrev;snerre_gul;Bredbladet urt
1;5/10/23;overdrev;svingel_roed;Graminoid
1;5/10/23;overdrev;syre_almindelig;Bredbladet urt
1;5/10/23;overdrev;vejbred_lancet;Bredbladet urt
1;5/10/23;overdrev;vikke_muse;Bredbladet urt
1;5/10/23;overdrev;vikke_sambladet;Bredbladet urt
2;5/10/23;overdrev;gedeskaeg_smaakronet;Bredbladet urt
2;5/10/23;overdrev;hejre_tidlig_skov;Graminoid
2;5/10/23;overdrev;hundegraes_almindelig;Graminoid
2;5/10/23;overdrev;hvidtjoern_almindelig;Vedplante
2;5/10/23;overdrev;kloever_hvid;Bredbladet urt
2;5/10/23;overdrev;kaellingetand_almindelig;Bredbladet urt
2;5/10/23;overdrev;mælkebøtte_vej;Bredbladet urt
2;5/10/23;overdrev;padderok_ager;Udenfor kategori
2;5/10/23;overdrev;potentil_sp;Bredbladet urt
2;5/10/23;overdrev;rapgraes_almindelig;Graminoid
2;5/10/23;overdrev;raevehale_eng;Graminoid
2;5/10/23;overdrev;storkenaeb_sp;Bredbladet urt
2;5/10/23;overdrev;svingel_roed;Graminoid
2;5/10/23;overdrev;syre_almindelig;Bredbladet urt
2;5/10/23;overdrev;tidsel_ager;Bredbladet urt
2;5/10/23;overdrev;torskemund_almindelig;Bredbladet urt
2;5/10/23;overdrev;vejbred_lancet;Bredbladet urt
2;5/10/23;overdrev;aerenpris_sp;Bredbladet urt
3;5/10/23;fersk eng;bellis;Bredbladet urt
3;5/10/23;fersk eng;birk_sp;Vedplante
3;5/10/23;fersk eng;brandbaeger_alm;Bredbladet urt
3;5/10/23;fersk eng;brandbaeger_eng;Bredbladet urt
3;5/10/23;fersk eng;broendkarse_sp;Bredbladet urt
3;5/10/23;fersk eng;dueurt_laadden;Bredbladet urt
3;5/10/23;fersk eng;forglemmigej_forskelligfarvet;Bredbladet urt
3;5/10/23;fersk eng;foelfod;Bredbladet urt
3;5/10/23;fersk eng;kloever_hvid;Bredbladet urt
3;5/10/23;fersk eng;kransnaalalge_sp;Udenfor kategori
3;5/10/23;fersk eng;mjoedurt_almindelig;Bredbladet urt
3;5/10/23;fersk eng;maelkeboette_celtica_sp;Bredbladet urt
3;5/10/23;fersk eng;maelkeboette_vej;Bredbladet urt
3;5/10/23;fersk eng;padderok_ager;Udenfor kategori
3;5/10/23;fersk eng;pil_sp;Vedplante
3;5/10/23;fersk eng;ranunkel_bidende;Bredbladet urt
3;5/10/23;fersk eng;ranunkel_lav;Bredbladet urt
3;5/10/23;fersk eng;ranunkel_tigger ;Bredbladet urt
3;5/10/23;fersk eng;rapgraes_almindelig;Graminoid
3;5/10/23;fersk eng;rapgraes_eng;Graminoid
3;5/10/23;fersk eng;rapgraes_enaarig;Graminoid
3;5/10/23;fersk eng;roellike_almindelig;Bredbladet urt
3;5/10/23;fersk eng;siv_glanskapslet;Graminoid
3;5/10/23;fersk eng;siv_lyse;Graminoid
3;5/10/23;fersk eng;snerre_sp;Bredbladet urt
3;5/10/23;fersk eng;springklap_roset;Bredbladet urt
3;5/10/23;fersk eng;tidsel_ager;Bredbladet urt
3;5/10/23;fersk eng;tidsel_horse;Bredbladet urt
3;5/10/23;fersk eng;tidsel_kaer;Bredbladet urt
3;5/10/23;fersk eng;vejbred_lancet;Bredbladet urt
3;5/10/23;fersk eng;aerenpris_tykbladet;Bredbladet urt
4;5/10/23;fersk eng;agermaane_almindelig;Bredbladet urt
4;5/10/23;fersk eng;fladbaelg_gul;Bredbladet urt
4;5/10/23;fersk eng;fladestjerne_graesbladet;Bredbladet urt
4;5/10/23;fersk eng;forglemmigej_forskelligfarvet;Bredbladet urt
4;5/10/23;fersk eng;hundegraes_almindelig;Graminoid
4;5/10/23;fersk eng;hvidtjoern_engriflet;Vedplante
4;5/10/23;fersk eng;hoensetarm_almindelig;Bredbladet urt
4;5/10/23;fersk eng;iris_gul;Bredbladet urt
4;5/10/23;fersk eng;kloever_hvid;Bredbladet urt
4;5/10/23;fersk eng;mjoedurt_almindelig;Bredbladet urt
4;5/10/23;fersk eng;maelkeboette_vej;Bredbladet urt
4;5/10/23;fersk eng;nellikerod_eng;Bredbladet urt
4;5/10/23;fersk eng;padderok_ager;Udenfor kategori
4;5/10/23;fersk eng;pastinak_vild;Bredbladet urt
4;5/10/23;fersk eng;perikon_kantet;Bredbladet urt
4;5/10/23;fersk eng;pileurt_vand;Bredbladet urt
4;5/10/23;fersk eng;potentil_gaase;Bredbladet urt
4;5/10/23;fersk eng;ranunkel_bidende;Bredbladet urt
4;5/10/23;fersk eng;ranunkel_lav;Bredbladet urt
4;5/10/23;fersk eng;ranunkel_nyebladet;Bredbladet urt
4;5/10/23;fersk eng;rapgreas_eng;Graminoid
4;5/10/23;fersk eng;raevehale_eng;Graminoid
4;5/10/23;fersk eng;skraeppe_kruset;Bredbladet urt
4;5/10/23;fersk eng;star_almindelig;Graminoid
4;5/10/23;fersk eng;syre_almindelig;Bredbladet urt
4;5/10/23;fersk eng;vejbred_lancet;Bredbladet urt
4;5/10/23;fersk eng;vorterod;Bredbladet urt
5;5/10/23;overdrev;agermaane_almindelig;Bredbladet urt
5;5/10/23;overdrev;fladbaelg_gul;Bredbladet urt
5;5/10/23;overdrev;forglemmigej_forskelligfarvet;Bredbladet urt
5;5/10/23;overdrev;gyldenris_sildig;Bredbladet urt
5;5/10/23;overdrev;hundegraes_almindelig;Graminoid
5;5/10/23;overdrev;hvidtjoern_engriflet;Bredbladet urt
5;5/10/23;overdrev;hanekro_sp;Bredbladet urt
5;5/10/23;overdrev;kloever_hvis;Bredbladet urt
5;5/10/23;overdrev;kloever_roed;Bredbladet urt
5;5/10/23;overdrev;mjoedurt_almindelig;Bredbladet urt
5;5/10/23;overdrev;naelde_stor;Bredbladet urt
